voice_rate_bps,info_bits_per_frame,frame_duration_ms,ebn0_db,snr_db,frames,bit_errors,frame_errors,ber,fer,target_fer
1200,64,40,-6,-6,200,6091,200,0.475859375,1,0.01
1200,64,40,-5.5,-5.5,200,6045,200,0.472265625,1,0.01
1200,64,40,-5,-5,200,6006,200,0.46921875,1,0.01
1200,64,40,-4.5,-4.5,200,5899,200,0.460859375,1,0.01
1200,64,40,-4,-4,200,5842,200,0.45640625,1,0.01
1200,64,40,-3.5,-3.5,200,5778,200,0.45140625,1,0.01
1200,64,40,-3,-3,200,5627,200,0.439609375,1,0.01
1200,64,40,-2.5,-2.5,200,5591,200,0.436796875,1,0.01
1200,64,40,-2,-2,200,5291,200,0.413359375,1,0.01
1200,64,40,-1.5,-1.5,200,4878,200,0.38109375,1,0.01
1200,64,40,-1,-1,200,4664,199,0.364375,0.995,0.01
1200,64,40,-0.5,-0.5,200,4314,198,0.33703125,0.99,0.01
1200,64,40,0,0,200,3879,195,0.303046875,0.975,0.01
1200,64,40,0.5,0.5,200,3109,180,0.242890625,0.9,0.01
1200,64,40,1,1,200,2258,155,0.17640625,0.775,0.01
1200,64,40,1.5,1.5,200,1712,134,0.13375,0.67,0.01
1200,64,40,2,2,200,1072,103,0.08375,0.515,0.01
1200,64,40,2.5,2.5,200,708,72,0.0553125,0.36,0.01
1200,64,40,3,3,200,476,52,0.0371875,0.26,0.01
1200,64,40,3.5,3.5,304,234,40,0.0120271381578947,0.131578947368421,0.01
1200,64,40,4,4,882,213,40,0.0037733843537415,0.0453514739229025,0.01
1200,64,40,4.5,4.5,1748,196,40,0.00175200228832952,0.022883295194508,0.01
1200,64,40,5,5,2000,31,8,0.0002421875,0.004,0.01
1200,64,40,5.5,5.5,2000,13,5,0.0001015625,0.0025,0.01
1200,64,40,6,6,2000,0,0,0,0,0.01
1200,64,40,6.5,6.5,2000,0,0,0,0,0.01
1200,64,40,7,7,2000,0,0,0,0,0.01
1200,64,40,7.5,7.5,2000,0,0,0,0,0.01
1200,64,40,8,8,2000,0,0,0,0,0.01
1200,64,40,8.5,8.5,2000,0,0,0,0,0.01
