scenario,elevation_deg,p_los,median_access_s,p90_access_s,success_60s
suburban,10.0,0.22245247861481726,22.58032547859957,31.942616803441748,0.99985
suburban,15.0,0.36291011175706117,15.302287251233057,21.36894281703801,1.0
suburban,20.0,0.525270869132789,11.626376232956199,15.824517094801218,1.0
suburban,25.0,0.6725738923396045,9.718072410303794,12.912688449096665,1.0
suburban,30.0,0.7796000283447794,8.74890601766559,11.460788100697847,1.0
suburban,35.0,0.8454618128279168,8.303440484662348,10.740111781756912,1.0
suburban,40.0,0.8819362410247307,8.043235232156235,10.391144510070871,1.0
suburban,45.0,0.9009641767115191,7.944055833891323,10.227849795795892,1.0
suburban,50.0,0.9105816958105611,7.878684383963036,10.122471060874217,1.0
suburban,55.0,0.9153651272423883,7.8762942263458,10.107429264291017,1.0
suburban,60.0,0.9177251866958961,7.849487992130896,10.087292673963733,1.0
suburban,65.0,0.9188849767698153,7.836754349502078,10.067910399462898,1.0
suburban,70.0,0.9194538117692515,7.817697545712708,10.05528252283562,1.0
urban,10.0,0.0929782791772517,46.21811837208749,67.62772058438217,0.75955
urban,15.0,0.1574143133630955,29.84777578880303,42.6624995619938,0.997675
urban,20.0,0.25024061464319347,20.48934172714355,28.962311824197695,1.0
urban,25.0,0.3656566887684702,15.195419311107718,21.214647041305685,1.0
urban,30.0,0.4855182783374466,12.303530894912594,16.844374846671915,1.0
urban,35.0,0.5888336897567501,10.693396991789108,14.407513700481086,1.0
urban,40.0,0.6645231855352822,9.791139517700774,13.041252097902818,1.0
urban,45.0,0.7136227448945243,9.29142713563012,12.295121506247591,1.0
urban,50.0,0.743007818921498,9.051575560185533,11.87374757083123,1.0
urban,55.0,0.7597532613857184,8.925242742681782,11.70278933720155,1.0
urban,60.0,0.7690303709062685,8.861815236539726,11.606944851198678,1.0
urban,65.0,0.7740897518110686,8.807116413641152,11.525623756409395,1.0
urban,70.0,0.776825292581601,8.776932238505351,11.493843016412074,1.0
car,10.0,0.052099365497567336,53.298562061959004,78.35264127005696,0.60915
car,15.0,0.08772116422858027,48.39970709034857,71.50462895254782,0.700775
car,20.0,0.14141243230695172,32.48281214930694,46.81132063357894,0.993825
car,25.0,0.2142239172839501,23.16703051237547,32.95536829730798,0.9999
car,30.0,0.3,17.855968356722254,25.00013876729876,1.0
car,35.0,0.38577608271604985,14.659736249926134,20.375533818438715,1.0
car,40.0,0.4585875676930483,12.842092737955603,17.652354203818426,1.0
car,45.0,0.5122788357714197,11.844520442057986,16.131750044934876,1.0
car,50.0,0.5479006345024326,11.226039637661302,15.292803928371178,1.0
car,55.0,0.5699068818787153,10.921201081381168,14.788743590484732,1.0
car,60.0,0.5829078823200398,10.730156775896779,14.50123662467962,1.0
car,65.0,0.5903868595693443,10.648477148192075,14.380141375479912,1.0
car,70.0,0.5946234548456854,10.577982790060013,14.314227844461023,1.0
indoor_window,10.0,0.018947193224189685,53.97273734431986,79.28256440599012,0.595275
indoor_window,15.0,0.031000913538397887,53.55095894179314,78.76181683239949,0.601925
indoor_window,20.0,0.04966802178956958,53.10397702450378,78.29464825017361,0.608675
indoor_window,25.0,0.07709252618909997,52.98593536765375,77.59370899613023,0.6161
indoor_window,30.0,0.11441479910381341,38.8388708629723,56.31646076756892,0.9506
indoor_window,35.0,0.16024684614750795,29.38697165695785,42.303132396355515,0.9978
indoor_window,40.0,0.20992645705220017,23.529578140565423,33.5214968244186,1.0
indoor_window,45.0,0.25699587187843004,20.02483197745154,28.311080927269835,1.0
indoor_window,50.0,0.2962363122436222,17.883525172664193,25.19600089774229,1.0
indoor_window,55.0,0.3256078398870647,16.658322440967112,23.379156642763125,1.0
indoor_window,60.0,0.34586699452762093,15.914523617346646,22.16101753187657,1.0
indoor_window,65.0,0.35906547934436966,15.479450943810757,21.624468134643973,1.0
indoor_window,70.0,0.367347103827106,15.157062022088066,21.128767581134547,1.0
