h_over_w,elevation_deg,p_los_geometry
0.5,5.0,0.07798814616081819
0.5,7.5,0.09755894605731519
0.5,10.0,0.12169724124147473
0.5,12.5,0.1513036972816263
0.5,15.0,0.18733161558642128
0.5,17.5,0.23069528188524058
0.5,20.0,0.28211542305840387
0.5,22.5,0.34189452981700585
0.5,25.0,0.40964061135407
0.5,27.5,0.4840029121425057
0.5,30.0,0.562533886627793
0.5,32.5,0.6418102576743001
0.5,35.0,0.7178845769415961
0.5,37.5,0.7869903208755543
0.5,40.0,0.8462666966709024
0.5,42.5,0.8942284194287478
0.5,45.0,0.9308297919656917
0.5,47.5,0.957171369865133
0.5,50.0,0.9750302626666499
0.5,52.5,0.986401333834934
0.5,55.0,0.9931600147935454
0.5,57.5,0.996872615807607
0.5,60.0,0.9987287151691828
0.5,62.5,0.9995545916549328
0.5,65.0,0.9998712974563018
0.5,67.5,0.9999712328650011
0.5,70.0,0.9999954832533465
0.5,72.5,0.9999995719056339
0.5,75.0,0.9999999809760333
0.5,77.5,0.9999999997484659
0.5,80.0,0.9999999999996014
0.5,82.5,1.0
1.0,5.0,0.0043811615650386
1.0,7.5,0.005592637343996799
1.0,10.0,0.0071568383264288835
1.0,12.5,0.009189500417360543
1.0,15.0,0.011850170131360261
1.0,17.5,0.015361067291534776
1.0,20.0,0.020034886787292844
1.0,22.5,0.026315933843130388
1.0,25.0,0.03484091140198827
1.0,27.5,0.0465278319064389
1.0,30.0,0.06270262781398307
1.0,32.5,0.0852689655623208
1.0,35.0,0.11690647490938666
1.0,37.5,0.16122101939523378
1.0,40.0,0.2226249999114771
1.0,42.5,0.3054729261456698
1.0,45.0,0.4117966212920807
1.0,47.5,0.5376103904192536
1.0,50.0,0.6701259038787887
1.0,52.5,0.7905166113272264
1.0,55.0,0.8830935250906135
1.0,57.5,0.9431268098052958
1.0,60.0,0.9761167716056829
1.0,62.5,0.9915073408573046
1.0,65.0,0.9975318830018539
1.0,67.5,0.9994473312019154
1.0,70.0,0.9999131867694686
1.0,72.5,0.9999917712843867
1.0,75.0,0.9999996343236657
1.0,77.5,0.9999999951650398
1.0,80.0,0.9999999999923401
1.0,82.5,0.9999999999999998
2.0,5.0,1.190965370531822e-05
2.0,7.5,1.52213740697534e-05
2.0,10.0,1.9509234427387335e-05
2.0,12.5,2.5101434576408522e-05
2.0,15.0,3.245606257956476e-05
2.0,17.5,4.222155200881981e-05
2.0,20.0,5.5329964292191986e-05
2.0,22.5,7.314372910230886e-05
2.0,25.0,9.769139610145174e-05
2.0,27.5,0.00013205522308425073
2.0,30.0,0.00018102470984176602
2.0,32.5,0.00025222966745188963
2.0,35.0,0.0003581660604059426
2.0,37.5,0.0005199437943743295
2.0,40.0,0.0007744885802001138
2.0,42.5,0.0011889812676825935
2.0,45.0,0.00189121665604051
2.0,47.5,0.003136918548126776
2.0,50.0,0.005468082529911337
2.0,52.5,0.010110122907245224
2.0,55.0,0.020034886787292844
2.0,57.5,0.04295398511885928
2.0,60.0,0.09959856145324067
2.0,62.5,0.24011036308145456
2.0,65.0,0.5224174270070825
2.0,67.5,0.8303486320689814
2.0,70.0,0.9689184474580508
2.0,72.5,0.9969688385528213
2.0,75.0,0.9998649078239487
2.0,77.5,0.999998213578322
2.0,80.0,0.999999997169815
2.0,82.5,0.9999999999999356
3.0,5.0,3.22338688523609e-08
3.0,7.5,4.119728483792247e-08
3.0,10.0,5.280278383557738e-08
3.0,12.5,6.793875080049479e-08
3.0,15.0,8.784519923002183e-08
3.0,17.5,1.1427747165051635e-07
3.0,20.0,1.4975885038088655e-07
3.0,22.5,1.9797799510097645e-07
3.0,25.0,2.644275935549681e-07
3.0,27.5,3.574546286782258e-07
3.0,30.0,4.90031970297007e-07
3.0,32.5,6.828315337777928e-07
3.0,35.0,9.697230722722333e-07
3.0,37.5,1.4079583172437142e-06
3.0,40.0,2.0977741832941035e-06
3.0,42.5,3.221798914858688e-06
3.0,45.0,5.1282515740813384e-06
3.0,47.5,8.51671615919403e-06
3.0,50.0,1.4880516823961995e-05
3.0,52.5,2.7641759873263523e-05
3.0,55.0,5.5329964292191986e-05
3.0,57.5,0.00012145797438504617
3.0,60.0,0.0002992919444268542
3.0,62.5,0.0008544708953119495
3.0,65.0,0.002951844406496532
3.0,67.5,0.013073624494602011
3.0,70.0,0.07780630839306031
3.0,72.5,0.4709514775929719
3.0,75.0,0.9524528787793437
3.0,77.5,0.9993403857153673
3.0,80.0,0.9999989543021096
3.0,82.5,0.9999999999762239
