scenario,output_backoff_db,rapp_snr_penalty_db,et_efficiency,voice_rate_bps,availability,median_ebn0_db
urban,0.5,3.1020226079184754,0.5181797831980244,2400.0,0.86564,15.905546571890078
car,0.5,3.1020226079184754,0.5181797831980244,2400.0,0.70388,9.756258830048822
urban,0.75,2.760901607381717,0.5140605082973169,2400.0,0.8672,16.02913761378084
car,0.75,2.760901607381717,0.5140605082973169,2400.0,0.71076,10.01875167814583
urban,1.0,2.4579817840799727,0.5092343323027917,2400.0,0.87572,16.494054703781206
car,1.0,2.4579817840799727,0.5092343323027917,2400.0,0.72548,10.503508590732853
urban,1.25,2.1890916111828425,0.5036080408487642,2400.0,0.87982,16.61670342620087
car,1.25,2.1890916111828425,0.5036080408487642,2400.0,0.7331,10.705934640877587
urban,1.5,1.9505252116139564,0.4970869480720376,2400.0,0.88594,16.961332237972208
car,1.5,1.9505252116139564,0.4970869480720376,2400.0,0.742,10.885179219240685
urban,1.75,1.7389828964474958,0.4895794014962826,2400.0,0.89012,17.229933249106928
car,1.75,1.7389828964474958,0.4895794014962826,2400.0,0.74176,10.643870797828878
urban,2.0,1.5515210153597976,0.48100280235548803,2400.0,0.89344,17.471418730765897
car,2.0,1.5515210153597976,0.48100280235548803,2400.0,0.7527,11.154812158440494
urban,2.25,1.3855095923781695,0.47129110407184843,2400.0,0.89342,17.49491676225363
car,2.25,1.3855095923781695,0.47129110407184843,2400.0,0.75716,11.410792903751085
urban,2.5,1.2385963982571342,0.4604034841312649,2400.0,0.89638,17.710059304831056
car,2.5,1.2385963982571342,0.4604034841312649,2400.0,0.76142,11.460811797041753
urban,2.75,1.1086762941102424,0.4483335310895358,2400.0,0.89868,17.787538380158054
car,2.75,1.1086762941102424,0.4483335310895358,2400.0,0.76466,11.525898160057302
urban,3.0,0.9938648623736763,0.4351178970105968,2400.0,0.89834,17.931618491197796
car,3.0,0.9938648623736763,0.4351178970105968,2400.0,0.77064,11.722278756063792
urban,3.25,0.892475513546614,0.42084303077690544,2400.0,0.90198,17.961383737908307
car,3.25,0.892475513546614,0.42084303077690544,2400.0,0.77082,11.689849108227495
urban,3.5,0.8029994143403234,0.4056484612287211,2400.0,0.90272,18.126320918535043
car,3.5,0.8029994143403234,0.4056484612287211,2400.0,0.77258,11.801629004547337
urban,3.75,0.7240877206569662,0.3897252743264333,2400.0,0.90418,18.186291308313812
car,3.75,0.7240877206569662,0.3897252743264333,2400.0,0.77756,12.08830737010936
urban,4.0,0.6545357151129005,0.3733090002115228,2400.0,0.90624,18.19562844992668
car,4.0,0.6545357151129005,0.3733090002115228,2400.0,0.78118,11.939453613417648
urban,4.25,0.5932685434701065,0.3566670476538808,2400.0,0.90788,18.38031537903202
car,4.25,0.5932685434701065,0.3566670476538808,2400.0,0.78358,12.271801340238161
urban,4.5,0.5393283187182976,0.3400819001055472,2400.0,0.90764,18.488687615499146
car,4.5,0.5393283187182976,0.3400819001055472,2400.0,0.78474,12.342820706010496
urban,4.75,0.4918624180432981,0.3238322179815819,2400.0,0.90714,18.45073824288795
car,4.75,0.4918624180432981,0.3238322179815819,2400.0,0.78458,12.152075081386721
urban,5.0,0.4501128394186611,0.30817447723116553,2400.0,0.90812,18.46957900861534
car,5.0,0.4501128394186611,0.30817447723116553,2400.0,0.78798,12.453624527439022
urban,5.25,0.4134065140667845,0.29332764840048636,2400.0,0.90754,18.586291682950524
car,5.25,0.4134065140667845,0.29332764840048636,2400.0,0.7877,12.408421830529642
urban,5.5,0.3811464913666075,0.27946272696836244,2400.0,0.90948,18.45571916363212
car,5.5,0.3811464913666075,0.27946272696836244,2400.0,0.78706,12.505852310239062
urban,5.75,0.3528039263937597,0.266697897800365,2400.0,0.90842,18.47748027412035
car,5.75,0.3528039263937597,0.266697897800365,2400.0,0.7915,12.611383004700802
urban,6.0,0.32791080918745485,0.2550990698373762,2400.0,0.91072,18.531130166804623
car,6.0,0.32791080918745485,0.2550990698373762,2400.0,0.79158,12.501239975333382
urban,6.25,0.30605338062662296,0.24468472032851107,2400.0,0.91004,18.552353159292288
car,6.25,0.30605338062662296,0.24468472032851107,2400.0,0.78824,12.348803220088707
urban,6.5,0.28686618364322053,0.23543357720621322,2400.0,0.91112,18.668254143584647
car,6.5,0.28686618364322053,0.23543357720621322,2400.0,0.7898,12.52667278268531
urban,6.75,0.2700267012370508,0.22729363543109043,2400.0,0.91072,18.74235875982169
car,6.75,0.2700267012370508,0.22729363543109043,2400.0,0.78844,12.380380132247442
urban,7.0,0.2552505349442889,0.2201912420222648,2400.0,0.90898,18.55771611485211
car,7.0,0.2552505349442889,0.2201912420222648,2400.0,0.79374,12.60387211533694
urban,7.25,0.2422870794014821,0.2140393561937414,2400.0,0.90982,18.80511274828254
car,7.25,0.2422870794014821,0.2140393561937414,2400.0,0.79336,12.655406085546051
urban,7.5,0.23091565063826672,0.20874447598126114,2400.0,0.90998,18.590120989893318
car,7.5,0.23091565063826672,0.20874447598126114,2400.0,0.79346,12.568016092583687
urban,7.75,0.22094202782027275,0.2042120451850737,2400.0,0.90884,18.69885284633471
car,7.75,0.22094202782027275,0.2042120451850737,2400.0,0.79054,12.50823994426335
urban,8.0,0.21219537037693056,0.200350383016131,2400.0,0.9104,18.72148689438815
car,8.0,0.21219537037693056,0.200350383016131,2400.0,0.79722,12.649760375635752
