scenario,scenario_key,scenario_label,elevation_deg,p_los,voice_rate_bps,threshold_ebn0_db,threshold_source,availability,p10_ebn0_db,median_ebn0_db,mean_mos_proxy
open,open_plain,Open plain,45.0,0.976011265038422,1200.0,4.73731896136704,phy_calibrated,1.0,22.4787160165477,25.9339640331148,3.59985923206029
open,open_plain,Open plain,45.0,0.976011265038422,2400.0,5.03216451393463,phy_calibrated,1.0,19.4824609328069,22.9375645577986,3.59918110895226
open,open_plain,Open plain,45.0,0.976011265038422,4000.0,5.21149423015855,phy_calibrated,0.999985,17.2709764498136,20.7254228950618,3.59713578019625
suburban,forest_edge,Forest edge,45.0,0.900964176711519,1200.0,4.73731896136704,phy_calibrated,0.99874,17.5828007562824,25.3189091098662,3.59046237615804
suburban,forest_edge,Forest edge,45.0,0.900964176711519,2400.0,5.03216451393463,phy_calibrated,0.99292,14.6659813331346,22.3022967230902,3.56876399500364
suburban,forest_edge,Forest edge,45.0,0.900964176711519,4000.0,5.21149423015855,phy_calibrated,0.980605,12.4292095013193,20.0701868565014,3.53662741879864
urban,canyon_valley,Canyon valley,45.0,0.713622744894524,1200.0,4.73731896136704,phy_calibrated,0.89955,4.70494330981003,21.905030608776,3.34519620860653
urban,canyon_valley,Canyon valley,45.0,0.713622744894524,2400.0,5.03216451393463,phy_calibrated,0.843095,1.65305266746373,18.9108239100728,3.21461315178268
urban,canyon_valley,Canyon valley,45.0,0.713622744894524,4000.0,5.21149423015855,phy_calibrated,0.79807,-0.620423002880765,16.7004400126511,3.1072168166478
car,moving_trail,Moving trail,45.0,0.51227883577142,1200.0,4.73731896136704,phy_calibrated,0.766815,0.100163727493642,15.5926124898478,3.03580082361106
car,moving_trail,Moving trail,45.0,0.51227883577142,2400.0,5.03216451393463,phy_calibrated,0.66371,-2.94587881613906,12.7498481420803,2.81102269426884
car,moving_trail,Moving trail,45.0,0.51227883577142,4000.0,5.21149423015855,phy_calibrated,0.60121,-5.09874388414975,10.5411337886629,2.6661735381843
indoor_window,tent_shelter,Tent/shelter,45.0,0.25699587187843,1200.0,4.73731896136704,phy_calibrated,0.44272,-11.4325934198006,2.71251760581268,2.27924656136925
indoor_window,tent_shelter,Tent/shelter,45.0,0.25699587187843,2400.0,5.03216451393463,phy_calibrated,0.360705,-14.4848611275453,-0.328152516838077,2.08635401331061
indoor_window,tent_shelter,Tent/shelter,45.0,0.25699587187843,4000.0,5.21149423015855,phy_calibrated,0.3157,-16.6434741272379,-2.52830559461886,1.97460956637117
