sigma_db,epsilon,gamma0_db,samples,c_mc,c_exact,c_chernoff_lb,c_no_shadow_ub,mc_minus_exact,exact_minus_chernoff_lb,ub_minus_exact
2,0.01,11.7066560161543,1000000,2.60322811357737,2.60277335032846,2.22088744942512,3.9831094547311,0.000454763248914247,0.381885900903332,1.38033610440265
3,0.01,11.7066560161543,1000000,1.98668440550987,1.98915091156457,1.49599090570173,3.9831094547311,-0.00246650605470111,0.493160005862842,1.99395854316653
4,0.01,11.7066560161543,1000000,1.4624375443474,1.45328414361706,0.929909866435832,3.9831094547311,0.00915340073033555,0.523374277181229,2.52982531111404
5,0.01,11.7066560161543,1000000,1.01392702540393,1.01249704758995,0.536079662484447,3.9831094547311,0.00142997781398368,0.476417385105504,2.97061240714115
6,0.01,11.7066560161543,1000000,0.67702875156288,0.67397775057709,0.29130278752161,3.9831094547311,0.0030510009857897,0.38267496305548,3.30913170415401
7,0.01,11.7066560161543,1000000,0.428074487924355,0.431372097276299,0.15217264453656,3.9831094547311,-0.00329760935194451,0.27919945273974,3.5517373574548
8,0.01,11.7066560161543,1000000,0.269237205539296,0.267811266428217,0.0776631196305712,3.9831094547311,0.00142593911107874,0.190148146797646,3.71529818830288
9,0.01,11.7066560161543,1000000,0.161331289744432,0.162707295288045,0.0391352000041751,3.9831094547311,-0.00137600554361311,0.12357209528387,3.82040215944306
10,0.01,11.7066560161543,1000000,0.096369508825141,0.0974413595593729,0.0195899785166141,3.9831094547311,-0.00107185073423194,0.0778513810427588,3.88566809517173
11,0.01,11.7066560161543,1000000,0.0579628987388961,0.0578262056525883,0.00977301667891759,3.9831094547311,0.000136693086307767,0.0480531889736707,3.92528324907851
12,0.01,11.7066560161543,1000000,0.0345122987352552,0.0341252782357436,0.00486723406966286,3.9831094547311,0.000387020499511594,0.0292580441660808,3.94898417649536
